dataset_id	species	tissue_or_scope	priority	status	accession	source_url	page_url	fetch_status	file_count	file_type_counts	matrix_file_count	candidate_files	recommended_action	download_ready	error
rice_root_tip_atlas	Oryza sativa	root tip	B	download_candidate	GSE146034	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146034	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146034	ok	1	mtx_archive:1	1	GSE146034_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
tomato_rice_root_tip_celltype_atlas	Solanum lycopersicum; Oryza sativa	root tip cell types	B	download_candidate	GSE149217	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE149217	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE149217	ok	5	metadata_table:4;mtx_archive:1	1	GSE149217_RAW.tar;GSE149217_Rice_ATLAS_raw_counts.csv.gz;GSE149217_Tomato_ATLAS_raw_counts.csv.gz;GSE149217_Tomato_DWL_raw_counts.csv.gz;GSE149217_Tomato_Field_raw_counts.csv.gz	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
cotton_glandular_terpenoid_atlas	Gossypium hirsutum	leaf glandular cells	B	download_candidate	GSE243419	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243419	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243419	ok	1	mtx_archive:1	1	GSE243419_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
arabidopsis_secondary_root_dev_atlas	Arabidopsis thaliana	secondary root	B	download_candidate	GSE270140	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270140	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270140	ok	1	mtx_archive:1	1	GSE270140_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
arabidopsis_lateral_root_founder_atlas	Arabidopsis thaliana	lateral root founder cells	B	download_candidate	GSE302041	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302041	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302041	ok	1	seurat_rds:1	1	GSE302041_LRFC.rds	download Seurat RDS; export with export_seurat_rds_to_mtx.R; build NPZ manifest	True	
marchantia_spore_asymmetry_single_cell	Marchantia polymorpha	spore asymmetry	C	download_candidate	GSE336751	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE336751	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE336751	ok	1	mtx_archive:1	1	GSE336751_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
brassicaceae_regulatory_multiome	Brassicaceae	cell-type regulatory grammar	B	discovery_candidate	GSE332675	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE332675	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE332675	ok	16	h5ad:15;mtx_archive:1	16	GSE332675_RAW.tar;GSE332675_anndata_object.snATAC_Alyrata_flower_buds_combined.h5ad;GSE332675_anndata_object.snATAC_Alyrata_mature_leaf_combined.h5ad;GSE332675_anndata_object.snATAC_Alyrata_root_combined.h5ad;GSE332675_anndata_object.snATAC_Alyrata_shoot.h5ad;GSE332675_anndata_object.snATAC_Athaliana_flower_buds_combined.h5ad;GSE332675_anndata_object.snATAC_Athaliana_mature_leaf_combined.h5ad;GSE332675_anndata_object.snATAC_Athaliana_seedling_combined.h5ad;GSE332675_anndata_object.snATAC_Boleracea_flower_buds_combined.h5ad;GSE332675_anndata_object.snATAC_Boleracea_mature_leaf_combined.h5ad;GSE332675_anndata_object.snATAC_Boleracea_root_combined.h5ad;GSE332675_anndata_object.snATAC_Boleracea_shoot.h5ad	h5ad/MTX files appear ATAC-only; keep as regulatory evidence and do not add to expression corpus until an RNA layer is verified	False	
discovered_gse201671	Zea mays	public discovery candidate	A	ncbi_discovery_candidate	GSE201671	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201671	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201671	ok	0		0		no supplementary matrix files found on GEO page; keep as metadata-only or inspect SRA	False	
discovered_gse212404	Solanum lycopersicum	public discovery candidate	A	ncbi_discovery_candidate	GSE212404	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212404	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212404	ok	1	metadata_table:1	0	GSE212404_20211116_PROTO_ITAG4.1_Kallisto_raw_counts.csv.gz	supplementary files found but no obvious matrix; inspect manually before training use	False	
discovered_gse273926	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE273926	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273926	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273926	ok	0		0		no supplementary matrix files found on GEO page; keep as metadata-only or inspect SRA	False	
discovered_gse289042	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE289042	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE289042	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE289042	ok	0		0		no supplementary matrix files found on GEO page; keep as metadata-only or inspect SRA	False	
discovered_gse290214	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE290214	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290214	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290214	ok	0		0		no supplementary matrix files found on GEO page; keep as metadata-only or inspect SRA	False	
discovered_gse295131	Populus trichocarpa	public discovery candidate	A	ncbi_discovery_candidate	GSE295131	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE295131	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE295131	ok	0		0		no supplementary matrix files found on GEO page; keep as metadata-only or inspect SRA	False	
maize_root_ground_tissue_atlas	Zea mays	root tissues	B	download_candidate	GSE172280	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE172280	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE172280	ok	1	metadata_table:1	0	GSE172280_Maize_roottissues_Normalized.csv.gz	supplementary files found but no obvious matrix; inspect manually before training use	False	
